StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,DBSCAN_Cluster
0.5806,0.95,2,1,0,1,1,0.8182,2,0.25,0,0.3,0.3,0,2,2,3
0.5806,0.95,2,1,0,1,1,0.8182,1,0.2,1,1.0,0.8833,0,2,0,2
0.3871,0.5,2,0,1,0,1,0.0,1,0.65,1,0.36,0.55,0,2,1,0
0.3871,0.5,2,0,1,0,1,0.5455,3,0.55,1,0.28,0.4833,1,0,2,0
0.3871,0.5,2,0,1,0,1,0.4545,0,0.35,1,0.36,0.7833,1,1,0,0
0.3871,0.5,2,0,1,0,1,0.8182,0,0.6,0,0.28,0.8,1,0,0,1
0.3871,0.5,2,0,1,0,1,1.0,1,0.0,1,0.46,0.6333,1,0,1,0
0.3871,0.5,1,0,1,1,1,0.0,1,0.65,1,0.36,0.55,0,2,1,0
0.3871,0.5,1,0,1,1,1,0.5455,3,0.55,1,0.28,0.4833,1,0,2,0
0.3871,0.5,1,0,1,1,1,0.4545,0,0.35,1,0.36,0.7833,1,1,0,0
0.3871,0.5,1,0,1,1,1,0.8182,0,0.6,0,0.28,0.8,1,0,0,1
0.3871,0.5,1,0,1,1,1,1.0,1,0.0,1,0.46,0.6333,1,0,1,0
0.3871,0.5,2,0,1,1,1,0.0,1,0.65,1,0.36,0.55,0,2,1,0
0.3871,0.5,2,0,1,1,1,0.5455,3,0.55,1,0.28,0.4833,1,0,2,0
0.3871,0.5,2,0,1,1,1,0.4545,0,0.35,1,0.36,0.7833,1,1,0,0
0.3871,0.5,2,0,1,1,1,0.8182,0,0.6,0,0.28,0.8,1,0,0,1
0.3871,0.5,2,0,1,1,1,1.0,1,0.0,1,0.46,0.6333,1,0,1,0
0.3871,0.925,2,1,0,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,3
0.3871,0.925,2,1,0,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,2
0.3871,0.925,1,0,1,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,1
0.3871,0.925,1,0,1,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,0
0.3871,0.925,2,0,2,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,1
0.3871,0.925,2,0,2,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,0
0.3871,0.925,2,1,1,0,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,3
0.3871,0.925,2,1,1,0,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,2
0.3871,0.925,2,0,1,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,1
0.3871,0.925,2,0,1,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,0
0.3871,0.925,0,1,1,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,3
0.3871,0.925,0,1,1,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,2
0.3871,0.925,1,1,1,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,3
0.3871,0.925,1,1,1,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,2
0.3871,0.925,0,0,2,0,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,1
0.3871,0.925,0,0,2,0,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,0
0.3871,0.925,1,1,0,1,1,0.8182,1,0.45,0,0.28,0.7833,1,1,0,3
0.3871,0.925,1,1,0,1,1,0.6364,2,1.0,1,0.4,0.7,1,1,1,2
0.5161,0.575,1,1,0,1,1,0.8182,2,0.05,0,0.32,0.7667,0,1,0,3
0.5161,0.575,1,1,0,1,1,0.8182,0,0.35,1,0.54,0.9333,1,1,0,2
0.5161,0.575,1,1,2,1,1,0.8182,2,0.05,0,0.32,0.7667,0,1,0,3
0.5161,0.575,1,1,2,1,1,0.8182,0,0.35,1,0.54,0.9333,1,1,0,2
0.5161,0.575,0,0,0,1,1,0.8182,2,0.05,0,0.32,0.7667,0,1,0,1
0.5161,0.575,0,0,0,1,1,0.8182,0,0.35,1,0.54,0.9333,1,1,0,0
0.5161,0.575,0,1,0,1,1,0.8182,2,0.05,0,0.32,0.7667,0,1,0,3
0.5161,0.575,0,1,0,1,1,0.8182,0,0.35,1,0.54,0.9333,1,1,0,2
0.5161,0.575,2,1,2,1,1,0.8182,2,0.05,0,0.32,0.7667,0,1,0,3
0.5161,0.575,2,1,2,1,1,0.8182,0,0.35,1,0.54,0.9333,1,1,0,2
0.5161,0.575,2,0,1,1,1,0.8182,2,0.05,0,0.32,0.7667,0,1,0,1
0.5161,0.575,2,0,1,1,1,0.8182,0,0.35,1,0.54,0.9333,1,1,0,0
0.129,0.55,1,1,1,1,1,0.0,3,0.85,0,0.1,0.0,1,2,3,3
0.129,0.55,1,1,1,1,1,0.6364,3,0.65,0,0.46,0.1,1,2,3,3
0.1613,0.45,2,1,1,1,1,0.8182,2,0.25,0,0.42,0.4667,1,2,2,3
0.1613,0.45,2,1,1,1,1,0.1818,3,0.85,0,0.7,0.6333,1,2,1,3
0.3871,0.2,1,0,1,1,0,0.0909,3,0.0,1,0.5,0.0333,1,1,3,0
0.3871,0.2,1,0,1,1,0,0.5455,2,0.2,1,0.74,0.4,1,2,2,0
0.3871,0.2,1,0,1,1,0,0.1818,3,0.95,1,0.76,0.15,1,1,3,0
0.3871,0.2,1,1,1,1,0,0.0909,3,0.0,1,0.5,0.0333,1,1,3,2
0.3871,0.2,1,1,1,1,0,0.5455,2,0.2,1,0.74,0.4,1,2,2,2
0.3871,0.2,1,1,1,1,0,0.1818,3,0.95,1,0.76,0.15,1,1,3,2
0.3871,0.2,1,0,2,1,0,0.0909,3,0.0,1,0.5,0.0333,1,1,3,0
0.3871,0.2,1,0,2,1,0,0.5455,2,0.2,1,0.74,0.4,1,2,2,0
0.3871,0.2,1,0,2,1,0,0.1818,3,0.95,1,0.76,0.15,1,1,3,0
0.3871,0.2,2,1,1,1,0,0.0909,3,0.0,1,0.5,0.0333,1,1,3,2
0.3871,0.2,2,1,1,1,0,0.5455,2,0.2,1,0.74,0.4,1,2,2,2
0.3871,0.2,2,1,1,1,0,0.1818,3,0.95,1,0.76,0.15,1,1,3,2
0.3871,0.2,0,1,2,1,0,0.0909,3,0.0,1,0.5,0.0333,1,1,3,2
0.3871,0.2,0,1,2,1,0,0.5455,2,0.2,1,0.74,0.4,1,2,2,2
0.3871,0.2,0,1,2,1,0,0.1818,3,0.95,1,0.76,0.15,1,1,3,2
0.5484,0.25,1,1,1,1,0,0.3636,3,0.05,1,0.48,0.0,1,2,3,2
0.5484,0.25,1,0,0,1,0,0.3636,3,0.05,1,0.48,0.0,1,2,3,0
0.5484,0.25,2,1,2,1,0,0.3636,3,0.05,1,0.48,0.0,1,2,3,2
0.5484,0.25,1,1,0,1,0,0.3636,3,0.05,1,0.48,0.0,1,2,3,2
0.5484,0.25,2,1,1,1,0,0.3636,3,0.05,1,0.48,0.0,1,2,3,2
0.3226,0.5,1,1,0,1,0,0.4545,2,0.1,0,0.0,0.2667,0,1,2,3
0.3226,0.5,1,1,0,1,0,0.2727,2,0.35,1,0.74,0.8167,1,0,0,2
0.3226,0.5,1,1,0,1,0,0.4545,1,0.65,1,0.12,0.5833,1,2,1,2
0.3226,0.5,2,0,1,1,0,0.4545,2,0.1,0,0.0,0.2667,0,1,2,1
0.3226,0.5,2,0,1,1,0,0.2727,2,0.35,1,0.74,0.8167,1,0,0,0
0.3226,0.5,2,0,1,1,0,0.4545,1,0.65,1,0.12,0.5833,1,2,1,0
0.3226,0.5,0,0,2,1,0,0.4545,2,0.1,0,0.0,0.2667,0,1,2,1
0.3226,0.5,0,0,2,1,0,0.2727,2,0.35,1,0.74,0.8167,1,0,0,0
0.3226,0.5,0,0,2,1,0,0.4545,1,0.65,1,0.12,0.5833,1,2,1,0
0.3226,0.5,1,0,1,1,0,0.4545,2,0.1,0,0.0,0.2667,0,1,2,1
0.3226,0.5,1,0,1,1,0,0.2727,2,0.35,1,0.74,0.8167,1,0,0,0
0.3226,0.5,1,0,1,1,0,0.4545,1,0.65,1,0.12,0.5833,1,2,1,0
0.3226,0.5,1,1,1,1,0,0.4545,2,0.1,0,0.0,0.2667,0,1,2,3
0.3226,0.5,1,1,1,1,0,0.2727,2,0.35,1,0.74,0.8167,1,0,0,2
0.3226,0.5,1,1,1,1,0,0.4545,1,0.65,1,0.12,0.5833,1,2,1,2
0.2258,0.375,2,1,1,1,1,0.2727,0,0.8,1,0.32,0.5167,1,2,1,2
0.2258,0.375,2,1,1,1,1,0.3636,2,1.0,1,0.1,0.1333,1,1,3,2
0.7742,0.45,1,0,2,1,0,0.9091,0,0.1,1,0.34,0.85,1,2,0,0
0.7742,0.45,2,1,1,1,0,0.9091,0,0.1,1,0.34,0.85,1,2,0,2
0.4516,0.975,2,0,1,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,0
0.4516,0.975,1,0,1,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,0
0.4516,0.975,2,0,0,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,0
0.4516,0.975,2,1,0,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,2
0.4516,0.975,0,0,1,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,0
0.4516,0.975,1,1,0,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,2
0.4516,0.975,1,1,1,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,2
0.4516,0.975,0,0,2,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,0
0.4516,0.975,2,1,1,1,1,0.6364,3,0.65,1,0.82,0.2667,1,0,2,2
0.4839,0.35,2,0,0,1,0,0.3636,3,0.15,1,0.86,0.95,1,2,0,0
0.4839,0.35,2,0,0,1,0,0.5455,1,1.0,1,0.36,0.45,0,1,2,0
0.4839,0.35,2,0,0,1,0,1.0,0,0.65,0,0.6,0.4167,0,0,2,1
0.4839,0.35,1,1,0,1,0,0.3636,3,0.15,1,0.86,0.95,1,2,0,2
0.4839,0.35,1,1,0,1,0,0.5455,1,1.0,1,0.36,0.45,0,1,2,2
0.4839,0.35,1,1,0,1,0,1.0,0,0.65,0,0.6,0.4167,0,0,2,3
0.4839,0.35,2,1,1,0,0,0.3636,3,0.15,1,0.86,0.95,1,2,0,2
0.4839,0.35,2,1,1,0,0,0.5455,1,1.0,1,0.36,0.45,0,1,2,2
0.4839,0.35,2,1,1,0,0,1.0,0,0.65,0,0.6,0.4167,0,0,2,3
0.4839,0.35,1,1,2,1,0,0.3636,3,0.15,1,0.86,0.95,1,2,0,2
0.4839,0.35,1,1,2,1,0,0.5455,1,1.0,1,0.36,0.45,0,1,2,2
0.4839,0.35,1,1,2,1,0,1.0,0,0.65,0,0.6,0.4167,0,0,2,3
0.4839,0.35,0,1,2,1,0,0.3636,3,0.15,1,0.86,0.95,1,2,0,2
0.4839,0.35,0,1,2,1,0,0.5455,1,1.0,1,0.36,0.45,0,1,2,2
0.4839,0.35,0,1,2,1,0,1.0,0,0.65,0,0.6,0.4167,0,0,2,3
0.1935,0.45,1,1,2,1,1,0.6364,2,0.2,1,0.18,0.6167,0,1,1,2
0.1935,0.45,1,1,2,1,1,0.8182,0,0.75,0,0.38,0.6167,1,2,1,3
0.1935,0.45,1,1,2,1,1,0.0,0,0.65,0,0.24,0.8333,1,2,0,3
0.1935,0.45,1,1,2,1,1,0.0909,2,0.15,1,0.6,0.9667,1,2,0,2
0.1935,0.45,1,1,2,1,1,0.2727,3,0.4,1,0.92,0.7167,1,1,1,2
0.1935,0.45,2,1,1,1,1,0.6364,2,0.2,1,0.18,0.6167,0,1,1,2
0.1935,0.45,2,1,1,1,1,0.8182,0,0.75,0,0.38,0.6167,1,2,1,3
0.1935,0.45,2,1,1,1,1,0.0,0,0.65,0,0.24,0.8333,1,2,0,3
0.1935,0.45,2,1,1,1,1,0.0909,2,0.15,1,0.6,0.9667,1,2,0,2
0.1935,0.45,2,1,1,1,1,0.2727,3,0.4,1,0.92,0.7167,1,1,1,2
0.3871,0.125,2,1,1,1,0,0.9091,2,0.6,0,0.76,0.5333,0,0,1,3
0.3871,0.125,2,1,1,1,0,0.2727,1,0.8,0,0.58,0.3,1,2,2,3
0.3871,0.125,0,1,1,1,0,0.9091,2,0.6,0,0.76,0.5333,0,0,1,3
0.3871,0.125,0,1,1,1,0,0.2727,1,0.8,0,0.58,0.3,1,2,2,3
0.3871,0.125,1,0,1,1,0,0.9091,2,0.6,0,0.76,0.5333,0,0,1,1
0.3871,0.125,1,0,1,1,0,0.2727,1,0.8,0,0.58,0.3,1,2,2,1
0.5161,0.05,0,1,2,1,1,0.7273,2,0.45,1,0.3,0.1,0,2,3,2
0.5161,0.05,0,0,2,1,1,0.7273,2,0.45,1,0.3,0.1,0,2,3,0
0.5161,0.05,1,0,1,1,1,0.7273,2,0.45,1,0.3,0.1,0,2,3,0
0.2581,0.775,1,0,1,1,0,0.0909,0,0.35,1,0.28,0.3833,0,1,2,0
0.2581,0.775,1,0,1,1,0,0.6364,3,0.6,0,0.46,0.6167,0,2,1,1
0.2581,0.775,1,0,1,1,0,0.2727,0,0.65,1,0.96,1.0,0,2,0,0
0.2581,0.775,1,0,1,1,0,1.0,1,0.15,1,0.32,0.8333,1,2,0,0
0.2581,0.775,1,0,1,1,0,0.9091,1,0.55,1,0.7,0.1,1,2,3,0
0.2581,0.775,1,0,1,1,0,0.0909,2,0.9,0,0.78,0.35,0,2,2,1
0.2581,0.775,1,1,1,1,0,0.0909,0,0.35,1,0.28,0.3833,0,1,2,2
0.2581,0.775,1,1,1,1,0,0.6364,3,0.6,0,0.46,0.6167,0,2,1,3
0.2581,0.775,1,1,1,1,0,0.2727,0,0.65,1,0.96,1.0,0,2,0,2
0.2581,0.775,1,1,1,1,0,1.0,1,0.15,1,0.32,0.8333,1,2,0,2
0.2581,0.775,1,1,1,1,0,0.9091,1,0.55,1,0.7,0.1,1,2,3,2
0.2581,0.775,1,1,1,1,0,0.0909,2,0.9,0,0.78,0.35,0,2,2,3
0.5484,0.575,2,1,1,1,1,0.9091,2,0.55,0,0.92,0.5833,1,2,1,3
0.5484,0.575,1,1,2,1,1,0.9091,2,0.55,0,0.92,0.5833,1,2,1,3
0.5484,0.575,1,1,2,0,1,0.9091,2,0.55,0,0.92,0.5833,1,2,1,3
0.5484,0.575,0,1,1,1,1,0.9091,2,0.55,0,0.92,0.5833,1,2,1,3
0.3548,0.75,1,0,1,1,0,0.0909,1,0.0,1,0.8,0.2,0,2,3,0
0.3548,0.75,1,0,2,0,0,0.0909,1,0.0,1,0.8,0.2,0,2,3,0
0.3548,0.75,2,1,1,1,0,0.0909,1,0.0,1,0.8,0.2,0,2,3,2
0.3548,0.75,2,1,2,1,0,0.0909,1,0.0,1,0.8,0.2,0,2,3,2
0.4194,0.15,2,0,0,1,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,1
0.4194,0.15,2,0,0,1,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,1
0.4194,0.15,1,0,1,1,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,1
0.4194,0.15,1,0,1,1,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,1
0.4194,0.15,2,0,1,1,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,1
0.4194,0.15,2,0,1,1,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,1
0.4194,0.15,2,1,1,1,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,3
0.4194,0.15,2,1,1,1,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,3
0.4194,0.15,1,1,0,0,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,3
0.4194,0.15,1,1,0,0,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,3
0.4194,0.15,2,1,1,0,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,3
0.4194,0.15,2,1,1,0,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,3
0.4194,0.15,1,1,2,1,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,3
0.4194,0.15,1,1,2,1,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,3
0.4194,0.15,1,1,1,1,1,0.3636,1,0.15,0,0.0,0.55,1,1,1,3
0.4194,0.15,1,1,1,1,1,0.8182,2,0.55,0,0.14,0.3333,1,0,2,3
0.3548,0.575,1,0,1,1,0,0.8182,1,0.6,1,0.04,0.4333,0,1,2,0
0.3548,0.575,1,0,1,1,0,0.7273,1,0.0,0,0.92,0.2667,1,0,2,1
0.3548,0.575,2,1,0,1,0,0.8182,1,0.6,1,0.04,0.4333,0,1,2,2
0.3548,0.575,2,1,0,1,0,0.7273,1,0.0,0,0.92,0.2667,1,0,2,3
0.3548,0.575,1,1,1,1,0,0.8182,1,0.6,1,0.04,0.4333,0,1,2,2
0.3548,0.575,1,1,1,1,0,0.7273,1,0.0,0,0.92,0.2667,1,0,2,3
0.3548,0.575,1,1,2,1,0,0.8182,1,0.6,1,0.04,0.4333,0,1,2,2
0.3548,0.575,1,1,2,1,0,0.7273,1,0.0,0,0.92,0.2667,1,0,2,3
0.3548,0.575,1,1,0,1,0,0.8182,1,0.6,1,0.04,0.4333,0,1,2,2
0.3548,0.575,1,1,0,1,0,0.7273,1,0.0,0,0.92,0.2667,1,0,2,3
0.3548,0.575,1,0,0,1,0,0.8182,1,0.6,1,0.04,0.4333,0,1,2,0
0.3548,0.575,1,0,0,1,0,0.7273,1,0.0,0,0.92,0.2667,1,0,2,1
0.8387,0.25,2,1,1,1,1,0.9091,2,0.05,0,0.04,0.5167,1,2,1,3
0.4839,0.225,1,1,1,1,1,0.2727,3,0.15,1,0.74,0.65,1,0,1,2
0.4839,0.225,1,1,1,1,1,0.0,3,0.45,0,0.64,0.95,0,2,0,3
0.4839,0.225,2,1,1,1,1,0.2727,3,0.15,1,0.74,0.65,1,0,1,2
0.4839,0.225,2,1,1,1,1,0.0,3,0.45,0,0.64,0.95,0,2,0,3
0.4839,0.225,2,0,0,1,1,0.2727,3,0.15,1,0.74,0.65,1,0,1,0
0.4839,0.225,2,0,0,1,1,0.0,3,0.45,0,0.64,0.95,0,2,0,1
0.4839,0.225,1,1,2,1,1,0.2727,3,0.15,1,0.74,0.65,1,0,1,2
0.4839,0.225,1,1,2,1,1,0.0,3,0.45,0,0.64,0.95,0,2,0,3
0.2903,0.0,1,0,1,1,0,0.0,0,0.3,0,0.76,0.2,1,2,3,1
0.2903,0.0,0,1,0,1,0,0.0,0,0.3,0,0.76,0.2,1,2,3,3
0.6452,0.125,1,0,1,1,0,0.6364,3,0.0,1,0.24,0.1833,0,1,3,0
0.6452,0.125,1,0,1,1,0,0.9091,3,0.6,1,1.0,0.25,1,0,2,0
0.6452,0.125,2,1,2,1,0,0.6364,3,0.0,1,0.24,0.1833,0,1,3,2
0.6452,0.125,2,1,2,1,0,0.9091,3,0.6,1,1.0,0.25,1,0,2,2
0.6452,0.125,0,1,1,1,0,0.6364,3,0.0,1,0.24,0.1833,0,1,3,2
0.6452,0.125,0,1,1,1,0,0.9091,3,0.6,1,1.0,0.25,1,0,2,2
0.6452,0.125,1,1,1,1,0,0.6364,3,0.0,1,0.24,0.1833,0,1,3,2
0.6452,0.125,1,1,1,1,0,0.9091,3,0.6,1,1.0,0.25,1,0,2,2
0.6452,0.125,2,1,0,0,0,0.6364,3,0.0,1,0.24,0.1833,0,1,3,2
0.6452,0.125,2,1,0,0,0,0.9091,3,0.6,1,1.0,0.25,1,0,2,2
0.5161,0.125,0,1,0,1,0,0.1818,3,0.05,1,0.08,0.2333,1,0,3,2
0.5161,0.125,0,1,0,1,0,0.5455,1,0.1,1,0.92,0.6333,0,2,1,2
0.5161,0.125,2,1,0,0,0,0.1818,3,0.05,1,0.08,0.2333,1,0,3,2
0.5161,0.125,2,1,0,0,0,0.5455,1,0.1,1,0.92,0.6333,0,2,1,2
0.0968,0.975,1,0,0,1,0,0.9091,2,0.45,1,0.98,0.95,0,1,0,0
0.0968,0.975,1,0,0,1,0,0.4545,1,0.2,1,0.78,0.2333,1,1,3,0
0.0968,0.975,1,0,0,1,0,0.1818,3,0.3,1,0.18,0.85,0,0,0,0
0.0968,0.975,2,1,1,1,0,0.9091,2,0.45,1,0.98,0.95,0,1,0,2
0.0968,0.975,2,1,1,1,0,0.4545,1,0.2,1,0.78,0.2333,1,1,3,2
0.0968,0.975,2,1,1,1,0,0.1818,3,0.3,1,0.18,0.85,0,0,0,2
0.2258,0.3,1,1,1,1,0,0.9091,1,0.75,1,0.16,1.0,0,1,0,2
0.2258,0.3,1,1,1,1,0,0.7273,2,1.0,1,0.02,0.0333,1,2,3,2
0.2258,0.3,1,1,1,1,0,1.0,1,0.25,0,0.22,0.55,1,1,1,3
0.2258,0.3,0,1,2,1,0,0.9091,1,0.75,1,0.16,1.0,0,1,0,2
0.2258,0.3,0,1,2,1,0,0.7273,2,1.0,1,0.02,0.0333,1,2,3,2
0.2258,0.3,0,1,2,1,0,1.0,1,0.25,0,0.22,0.55,1,1,1,3
0.2258,0.3,1,0,2,1,0,0.9091,1,0.75,1,0.16,1.0,0,1,0,0
0.2258,0.3,1,0,2,1,0,0.7273,2,1.0,1,0.02,0.0333,1,2,3,0
0.2258,0.3,1,0,2,1,0,1.0,1,0.25,0,0.22,0.55,1,1,1,1
